Borehole,Longitude,Latitude,link,Data Contact,Country,Geothermal Gradient,Intercept
CA-8820,-77.79,44.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-8820.html,J-C Mareschal,CA,10.118263004192306,6.956526371670046
CA-8901,-78.72,43.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8901.html,J-C Mareschal,CA,18.721538461538476,8.324523076923072
CA-8907,-78.5,44.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-8907.html,J-C Mareschal,CA,6.299230769230786,6.750538461538458
CA-8910,-77.72,44.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8910.html,J-C Mareschal,CA,11.165456487152062,6.378222821500017
CA-8911,-77.72,44.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-8911.html,J-C Mareschal,CA,12.253337197300878,6.225728808772586
CA-8917,-77.18,44.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8917.html,J-C Mareschal,CA,7.562301019890635,6.794373762372353
CA-8920,-77.18,44.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-8920.html,J-C Mareschal,CA,6.141039781067565,6.876811813921998
CA-8925,-81.07,46.44,http://geothermal.earth.lsa.umich.edu/DATA/CA-8925.html,J-C Mareschal,CA,9.529357870621517,8.127649095116633
CA-8926,-81.05,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-8926.html,J-C Mareschal,CA,8.631024531024531,8.162670995670997
CA-8927,-81.05,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-8927.html,J-C Mareschal,CA,9.842471160681876,8.268797805202253
CA-8928,-72.77,49.47,http://geothermal.earth.lsa.umich.edu/DATA/CA-8928.html,J-C Mareschal,CA,10.2356715410145,3.5405896164686417
CA-9001,-77.53,48.06,http://geothermal.earth.lsa.umich.edu/DATA/CA-9001.html,J-C Mareschal,CA,4.788909412412462,5.744754075014404
CA-9008,-74.17,49.89,http://geothermal.earth.lsa.umich.edu/DATA/CA-9008.html,J-C Mareschal,CA,7.680492551598224,3.2830010086781325
CA-9009,-74.17,49.9,http://geothermal.earth.lsa.umich.edu/DATA/CA-9009.html,J-C Mareschal,CA,7.198523849987383,3.8443944429040333
CA-9010,-74.33,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9010.html,J-C Mareschal,CA,7.084449049055887,3.7080936194880643
CA-9012,-74.33,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9012.html,J-C Mareschal,CA,7.158879452386734,3.619674175183247
CA-9013,-70.09,47.7,http://geothermal.earth.lsa.umich.edu/DATA/CA-9013.html,J-C Mareschal,CA,1.6121100353465276,5.65358152758568
CA-9101,-77.58,48.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-9101.html,J-C Mareschal,CA,5.701145763109507,4.628239065129897
CA-9103,-77.6,48.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-9103.html,J-C Mareschal,CA,9.244151392368567,3.8468921492637946
CA-9105,-78.44,48.25,http://geothermal.earth.lsa.umich.edu/DATA/CA-9105.html,J-C Mareschal,CA,9.681961349029152,4.09145342615419
CA-9111,-80.28,48.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-9111.html,J-C Mareschal,CA,8.015558427611412,4.18245635513585
CA-9114,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9114.html,J-C Mareschal,CA,10.076494244687886,4.113171613621418
CA-9115,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9115.html,J-C Mareschal,CA,8.58079626261517,4.351860673401772
CA-9116,-79.72,48.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-9116.html,J-C Mareschal,CA,10.095946921954113,4.133810969066296
CA-9202,-76.65,49.24,http://geothermal.earth.lsa.umich.edu/DATA/CA-9202.html,J-C Mareschal,CA,6.412239000004668,4.426927343212947
CA-9203,-76.65,49.24,http://geothermal.earth.lsa.umich.edu/DATA/CA-9203.html,J-C Mareschal,CA,6.416999546391937,4.599708344050018
CA-9204,-75.98,49.6,http://geothermal.earth.lsa.umich.edu/DATA/CA-9204.html,J-C Mareschal,CA,9.25721367879455,4.766348848417797
CA-9206,-76.17,49.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9206.html,J-C Mareschal,CA,8.375301866081227,3.6070587266739844
CA-9207,-76.17,49.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9207.html,J-C Mareschal,CA,8.260874706973155,3.6547443721353354
CA-9209,-74.61,49.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-9209.html,J-C Mareschal,CA,7.193213858783039,2.6039605175451244
CA-9211,-74.62,45.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-9211.html,J-C Mareschal,CA,6.605917127744481,2.7706759919373383
CA-9212,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9212.html,J-C Mareschal,CA,5.580163767086807,3.881822685513935
CA-9213,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9213.html,J-C Mareschal,CA,7.7604912060830165,3.7190880514026774
CA-9214,-77.69,48.53,http://geothermal.earth.lsa.umich.edu/DATA/CA-9214.html,J-C Mareschal,CA,7.429025149079603,3.607991098435744
CA-9301,-98.64,54.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9301.html,J-C Mareschal,CA,17.455297948688525,1.4353761450375289
CA-9302,-98.64,54.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-9302.html,J-C Mareschal,CA,16.510613241839284,2.216902669509978
CA-9305,-101.83,54.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-9305.html,J-C Mareschal,CA,13.487920464270172,2.65463418147128
CA-9306,-100.38,54.57,http://geothermal.earth.lsa.umich.edu/DATA/CA-9306.html,J-C Mareschal,CA,14.443193905017432,1.4790376532433653
CA-9307,-101.89,54.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-9307.html,J-C Mareschal,CA,6.550683904775889,3.3448387734740925
CA-9308,-99.98,54.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-9308.html,J-C Mareschal,CA,12.00101651783964,1.6347220111127974
CA-9309,-99.95,54.85,http://geothermal.earth.lsa.umich.edu/DATA/CA-9309.html,J-C Mareschal,CA,11.276129357229491,1.4336513865047316
CA-9400,-66.64,50.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-9400.html,J-C Mareschal,CA,13.138044524173797,3.8716989920608116
CA-9402,-66.43,50.3,http://geothermal.earth.lsa.umich.edu/DATA/CA-9402.html,J-C Mareschal,CA,14.477874564459944,3.359898954703832
CA-9405,-97.9,55.7,http://geothermal.earth.lsa.umich.edu/DATA/CA-9405.html,J-C Mareschal,CA,14.517971477013965,1.166892209488745
CA-9407,-97.82,55.74,http://geothermal.earth.lsa.umich.edu/DATA/CA-9407.html,J-C Mareschal,CA,13.725974159067869,1.42145970919321
CA-9408,-97.67,55.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-9408.html,J-C Mareschal,CA,15.707817180087812,0.34378001170570194
CA-9409,-97.68,55.9,http://geothermal.earth.lsa.umich.edu/DATA/CA-9409.html,J-C Mareschal,CA,15.303711305965289,0.3685258777276706
CA-9410,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9410.html,J-C Mareschal,CA,12.305814117421445,1.5276263948052904
CA-9411,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9411.html,J-C Mareschal,CA,13.99389135738715,1.262056952447133
CA-9413,-97.81,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9413.html,J-C Mareschal,CA,14.886872753998716,1.0224793354109663
CA-9501,-101.85,54.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-9501.html,J-C Mareschal,CA,13.966113969887562,1.794129597865448
CA-9502,-100.23,54.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-9502.html,J-C Mareschal,CA,13.886646751023749,2.0948126546670247
CA-9504,-103.2,54.58,http://geothermal.earth.lsa.umich.edu/DATA/CA-9504.html,J-C Mareschal,CA,19.37771929833017,1.7227226972303942
CA-9505,-101.74,54.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-9505.html,J-C Mareschal,CA,10.150262494569573,3.1575949523250775
CA-9506,-103.2,54.58,http://geothermal.earth.lsa.umich.edu/DATA/CA-9506.html,J-C Mareschal,CA,16.98506008044445,2.035502799466247
CA-9510,-74.03,49.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-9510.html,J-C Mareschal,CA,8.942939471087573,3.2601020433558014
CA-9511,-74.47,51.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-9511.html,J-C Mareschal,CA,8.980560384288514,4.519932708399322
CA-9512,-74.47,51.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-9512.html,J-C Mareschal,CA,9.64420122285232,4.214836992483001
CA-9513,-99.61,56.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-9513.html,J-C Mareschal,CA,12.840050793664135,10.133410250165035
CA-9514,-100.95,56.73,http://geothermal.earth.lsa.umich.edu/DATA/CA-9514.html,J-C Mareschal,CA,10.032139356108953,0.44881001881254967
CA-9516,-100.44,56.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-9516.html,J-C Mareschal,CA,6.980403758012584,0.9826708818900554
CA-9517,-100.44,56.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-9517.html,J-C Mareschal,CA,8.222582788579626,0.22668172419357183
CA-9519,-101.63,56.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-9519.html,J-C Mareschal,CA,10.038448112253098,1.5450669864456865
CA-9520,-100.44,56.91,http://geothermal.earth.lsa.umich.edu/DATA/CA-9520.html,J-C Mareschal,CA,7.369784853513877,0.6491243881744875
CA-9601,-105.02,55.29,http://geothermal.earth.lsa.umich.edu/DATA/CA-9601.html,J-C Mareschal,CA,14.223304473304474,3.0355822510822517
CA-9603,-103.71,56.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-9603.html,J-C Mareschal,CA,12.624173296117483,1.7100905193052474
CA-9604,-103.7,56.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-9604.html,J-C Mareschal,CA,12.073831052907723,1.8630789133341294
CA-9605,-103.7,56.13,http://geothermal.earth.lsa.umich.edu/DATA/CA-9605.html,J-C Mareschal,CA,13.173197058055825,1.5379155158178637
CA-9608,-102.83,54.64,http://geothermal.earth.lsa.umich.edu/DATA/CA-9608.html,J-C Mareschal,CA,15.327992747183293,3.137090894424703
CA-9609,-102.06,54.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-9609.html,J-C Mareschal,CA,11.580529136613375,2.0903734599195167
CA-9610,-102.06,54.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-9610.html,J-C Mareschal,CA,11.54658981635847,2.213008372699335
CA-9614,-101.1,56.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-9614.html,J-C Mareschal,CA,7.056629011925084,2.0404348566475745
CA-9618,-104.56,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9618.html,J-C Mareschal,CA,11.98593301496606,2.331436962996964
CA-9619,-104.56,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9619.html,J-C Mareschal,CA,9.443566176187332,2.7244363066955186
CA-9620,-104.56,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9620.html,J-C Mareschal,CA,8.517419387104516,2.8422291684461873
CA-9622,-104.55,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9622.html,J-C Mareschal,CA,11.872055720036505,2.272488206849397
CA-9702,-97.46,55.17,http://geothermal.earth.lsa.umich.edu/DATA/CA-9702.html,J-C Mareschal,CA,16.268254242395034,0.8961210497810321
CA-9801,-100.11,54.85,http://geothermal.earth.lsa.umich.edu/DATA/CA-9801.html,J-C Mareschal,CA,15.905936668176565,1.8849845026649477
CA-9803,-101.97,54.62,http://geothermal.earth.lsa.umich.edu/DATA/CA-9803.html,J-C Mareschal,CA,13.355855439014999,4.145126753446898
CA-9804,-100.76,55.16,http://geothermal.earth.lsa.umich.edu/DATA/CA-9804.html,J-C Mareschal,CA,7.118928879098614,2.275310182153235
CA-9806,-101.57,54.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-9806.html,J-C Mareschal,CA,10.955171013472649,2.8335937612881787
CA-9807,-101.57,54.79,http://geothermal.earth.lsa.umich.edu/DATA/CA-9807.html,J-C Mareschal,CA,10.129698064686098,2.9192879467462847
CA-9808,-102.74,55.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-9808.html,J-C Mareschal,CA,13.70569508868583,1.2334552534969374
CA-9809,-102.74,55.87,http://geothermal.earth.lsa.umich.edu/DATA/CA-9809.html,J-C Mareschal,CA,11.712874988142294,1.7582051941824117
CA-9812,-97.76,55.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-9812.html,J-C Mareschal,CA,15.854667367446556,0.7908407940871275
CA-9813,-97.78,55.83,http://geothermal.earth.lsa.umich.edu/DATA/CA-9813.html,J-C Mareschal,CA,18.900725485902008,0.17247554990473668
CA-9814,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9814.html,J-C Mareschal,CA,12.32433476481243,1.6221806573498223
CA-9815,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9815.html,J-C Mareschal,CA,12.758911211284644,1.4604303325996837
CA-9816,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9816.html,J-C Mareschal,CA,11.73429144385027,1.8002740641711212
CA-9817,-98.13,55.49,http://geothermal.earth.lsa.umich.edu/DATA/CA-9817.html,J-C Mareschal,CA,9.50106784863013,1.9085524505726625
CA-9818,-100.21,54.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-9818.html,J-C Mareschal,CA,8.955549731418884,4.669968506409393
CA-9819,-100.22,54.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-9819.html,J-C Mareschal,CA,16.567725927655278,3.3705543321407925
CA-9820,-66.64,50.21,http://geothermal.earth.lsa.umich.edu/DATA/CA-9820.html,J-C Mareschal,CA,13.001154401154402,3.853800865800867
CA-9821,-62.11,56.33,http://geothermal.earth.lsa.umich.edu/DATA/CA-9821.html,J-C Mareschal,CA,10.926110398432405,1.1468453824649205
CA-9822,-62.11,56.33,http://geothermal.earth.lsa.umich.edu/DATA/CA-9822.html,J-C Mareschal,CA,10.242123124328478,0.8551298472797632
CA-9823,-62.05,56.32,http://geothermal.earth.lsa.umich.edu/DATA/CA-9823.html,J-C Mareschal,CA,8.44963263089241,1.224722756641207
CA-9824,-62.05,56.32,http://geothermal.earth.lsa.umich.edu/DATA/CA-9824.html,J-C Mareschal,CA,8.27930677453868,1.3012001186697988
CA-9901,-101.5,54.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-9901.html,J-C Mareschal,CA,11.332337959056234,2.950693084437317
CA-9904,-101.36,55.2,http://geothermal.earth.lsa.umich.edu/DATA/CA-9904.html,J-C Mareschal,CA,17.599802371541504,2.6545553359683813
CA-9905,-101.36,55.2,http://geothermal.earth.lsa.umich.edu/DATA/CA-9905.html,J-C Mareschal,CA,16.858461538461544,2.7618769230769216
CA-9906,-101.84,54.77,http://geothermal.earth.lsa.umich.edu/DATA/CA-9906.html,J-C Mareschal,CA,10.41955229180324,2.463560217790666
CA-9907,-100.56,54.93,http://geothermal.earth.lsa.umich.edu/DATA/CA-9907.html,J-C Mareschal,CA,11.401722606054705,1.4713009838228501
CA-9912,-104.55,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9912.html,J-C Mareschal,CA,12.014344213094695,2.1934160276047754
CA-9913,-104.58,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9913.html,J-C Mareschal,CA,11.484480554568382,2.2228345814202095
CA-9915,-104.56,55.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-9915.html,J-C Mareschal,CA,9.517971676337348,2.552754127665315
CA-9916,-104.56,55.75,http://geothermal.earth.lsa.umich.edu/DATA/CA-9916.html,J-C Mareschal,CA,8.544702206911404,2.748464507855687
CA-9917,-103.14,56.15,http://geothermal.earth.lsa.umich.edu/DATA/CA-9917.html,J-C Mareschal,CA,17.742600734444345,1.1091451478519903
CA-9918,-103.12,56.16,http://geothermal.earth.lsa.umich.edu/DATA/CA-9918.html,J-C Mareschal,CA,15.084126159936487,0.9853635395180895
CA-9919,-103.14,56.15,http://geothermal.earth.lsa.umich.edu/DATA/CA-9919.html,J-C Mareschal,CA,19.214032820767702,1.283591483867242
CA-9920,-109.54,58.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-9920.html,J-C Mareschal,CA,17.604816639299397,2.2663464696223308
CA-9921,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9921.html,J-C Mareschal,CA,6.078195488721809,5.518879699248119
CA-9922,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9922.html,J-C Mareschal,CA,6.955870348139256,5.607300840336136
CA-9923,-109.52,58.23,http://geothermal.earth.lsa.umich.edu/DATA/CA-9923.html,J-C Mareschal,CA,8.290476190476182,4.786619047619047
CA-JM-a,-107.12,52.02,http://geothermal.earth.lsa.umich.edu/DATA/CA-JM-a.html,J. Majorowicz,CA,35.09890767412854,2.9062004930012515
CA-JM-b,-106.96,50.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-JM-b.html,J. Majorowicz,CA,26.159075563013236,5.754131758233792
CA-Turtle,-100.5,49.2,http://geothermal.earth.lsa.umich.edu/DATA/CA-Turtle.html,W.D. Gosnold,US,33.52598185261907,4.477471828426027
CA-WOOD,-106.4,49.4,http://geothermal.earth.lsa.umich.edu/DATA/CA-WOOD.html,W.D. Gosnold,US,25.514285714285727,4.748936507936508
US-AL7-6,-86.02,33.27,http://geothermal.earth.lsa.umich.edu/DATA/US-AL7-6.html,R.F. Roy,US,13.729882758535632,14.77310540968521
US-ALclay4,-86.8,33.5,http://geothermal.earth.lsa.umich.edu/DATA/US-ALclay4.html,S.R. Durrans,AL,27.540568328760187,21.552559371747556
US-ALclay6,-86.8,33.5,http://geothermal.earth.lsa.umich.edu/DATA/US-ALclay6.html,S.R. Durrans,AL,26.51348118246489,21.548798459152778
US-AZ3-6,-110.6,33.03,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ3-6.html,J.H. Sass,US,18.43303850978014,20.28173894126179
US-AZ3-8,-111.0,31.97,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ3-8.html,J.H. Sass,US,26.27573307245264,22.451155595305828
US-AZ7-12,-110.8,31.87,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-12.html,R.F. Roy,US,23.773095036831286,20.65889023064848
US-AZ7-13,-113.1,35.13,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-13.html,R.F. Roy,US,28.573168682795657,16.197150537634425
US-AZ7-16,-114.3,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-16.html,R.F. Roy,US,35.137662337662235,24.22987878787879
US-AZ7-17,-114.3,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-17.html,R.F. Roy,US,32.67078507078508,24.45736550836551
US-AZ7-18,-114.3,33.63,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-18.html,R.F. Roy,US,31.249122807017525,24.18263157894736
US-AZ7-20,-110.7,31.83,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-20.html,R.F. Roy,US,25.566883116883126,17.547372294372288
US-AZ7-22,-111.1,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-22.html,R.F. Roy,US,24.64285714285719,21.977500000000003
US-AZ7-23,-111.1,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-23.html,R.F. Roy,US,31.03005188815218,20.521126405304123
US-AZ7-24,-111.1,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-24.html,R.F. Roy,US,31.231166150670813,20.53905400756794
US-AZ7-25,-111.1,31.88,http://geothermal.earth.lsa.umich.edu/DATA/US-AZ7-25.html,R.F. Roy,US,31.231166150670813,20.53905400756794
US-CA3-25,-122.8,39.7,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-25.html,J.H. Sass,US,17.886741488018547,8.25473165659347
US-CA3-38,-119.3,35.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-38.html,J.H. Sass,US,34.697660818713466,22.494508771929834
US-CA3-41,-118.9,37.13,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-41.html,A.H. Lachenbruch,US,17.145803997003497,5.555540771043535
US-CA3-43,-119.3,37.1,http://geothermal.earth.lsa.umich.edu/DATA/US-CA3-43.html,A.H. Lachenbruch,US,13.104172212932024,13.096294539425198
US-CA7-28,-120.6,38.87,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-28.html,R.F. Roy,US,11.125027808676299,7.147702632554692
US-CA7-29,-121.1,38.83,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-29.html,R.F. Roy,US,10.158398220244704,16.728195031516506
US-CA7-31,-120.5,38.55,http://geothermal.earth.lsa.umich.edu/DATA/US-CA7-31.html,R.F. Roy,US,10.250705815923249,11.635906267645394
US-CO3-73,-108.3,40.05,http://geothermal.earth.lsa.umich.edu/DATA/US-CO3-73.html,J.H. Sass,US,37.74188482849902,7.306164102564101
US-CO3-75,-108.4,39.97,http://geothermal.earth.lsa.umich.edu/DATA/US-CO3-75.html,J.H. Sass,US,29.121188893560248,9.167785828162364
US-CO5-14,-105.5,38.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-14.html,"Decker, Birch",US,25.4443138790965,9.122471602036818
US-CO5-15,-105.5,38.27,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-15.html,"Decker, Birch",US,24.76695437731193,9.722490752157832
US-CO5-20,-105.2,39.78,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-20.html,"Roy, Decker",US,22.14339991315676,11.44936369228542
US-CO5-22,-106.1,39.43,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-22.html,"Decker, Birch",US,38.404071687083146,4.058982794895287
US-CO5-23,-107.6,37.93,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-23.html,"Decker, Birch",US,55.68874418354689,8.232881467515202
US-CO5-24,-107.0,39.0,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-24.html,"Roy, Decker",US,25.99558823529411,3.0999705882352946
US-CO5-25,-108.3,39.95,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-25.html,R.F. Roy,US,39.703244622675896,6.983937294932561
US-CO5-31,-105.4,38.13,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-31.html,Siems,US,36.979569356657656,8.375275774344981
US-CO5-32,-105.4,38.15,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-32.html,Siems,US,30.28996282527884,9.472639405204458
US-CO5-6,-105.5,39.87,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-6.html,"Decker, Birch",US,24.987391237391243,1.2809487371987385
US-CO5-8,-106.5,38.68,http://geothermal.earth.lsa.umich.edu/DATA/US-CO5-8.html,"Decker, Birch",US,21.373875698889876,0.8238508494719496
US-DC6-61,-77.0,39.0,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-61.html,W.H. Diment,US,14.765561697485348,12.704520912594866
US-DC6-62,-77.0,39.0,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-62.html,W.H. Diment,US,13.988263526820623,13.060445346135
US-DC6-63,-77.0,39.0,http://geothermal.earth.lsa.umich.edu/DATA/US-DC6-63.html,W.H. Diment,US,14.722283761876115,13.169133357178339
US-GLEN95,-101.2,48.5,http://geothermal.earth.lsa.umich.edu/DATA/US-GLEN95.html,W.D. Gosnold,US,34.832285115304,5.710670859538784
US-GSEL-02,-116.03,41.6,http://geothermal.earth.lsa.umich.edu/DATA/US-GSEL-02.html,J.H. Sass,US,47.315082203580346,9.368868609542947
US-GSNY-07,-117.82,38.88,http://geothermal.earth.lsa.umich.edu/DATA/US-GSNY-07.html,J.H. Sass,US,34.68371014527717,10.811203370545003
US-GSST-3,-118.81,38.37,http://geothermal.earth.lsa.umich.edu/DATA/US-GSST-3.html,J.H. Sass,US,121.14006743450794,12.262857647221658
US-HAY955,-102.7,42.6,http://geothermal.earth.lsa.umich.edu/DATA/US-HAY955.html,W.D. Gosnold,US,50.0422000948317,8.734691797060226
US-HAYSPR,-102.7,42.6,http://geothermal.earth.lsa.umich.edu/DATA/US-HAYSPR.html,W.D. Gosnold,US,49.27690848743484,8.932415836889527
US-IA7-33,-95.19,43.17,http://geothermal.earth.lsa.umich.edu/DATA/US-IA7-33.html,R.F. Roy,US,7.487895917838965,7.922136446017087
US-KEN95,-99.8,43.8,http://geothermal.earth.lsa.umich.edu/DATA/US-KEN95.html,W.D. Gosnold,US,83.88876529477201,10.520182424916573
US-M952M,-101.5,48.3,http://geothermal.earth.lsa.umich.edu/DATA/US-M952M.html,W.D. Gosnold,US,33.35166763312515,5.320258992251775
US-ME7-34,-68.62,44.4,http://geothermal.earth.lsa.umich.edu/DATA/US-ME7-34.html,"Birch, Roy",US,18.06340378197997,7.0093355580274395
US-ME7-35,-70.62,44.05,http://geothermal.earth.lsa.umich.edu/DATA/US-ME7-35.html,"Birch, Roy",US,21.93280632411067,7.1532015810276715
US-MI7-40,-88.02,47.4,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-40.html,R.F. Roy,US,16.998898730721532,5.231293704429426
US-MI7-41,-89.57,46.75,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-41.html,R.F. Roy,US,14.415536915026262,6.410211831332677
US-MI7-42,-89.57,46.73,http://geothermal.earth.lsa.umich.edu/DATA/US-MI7-42.html,R.F. Roy,US,14.164946999745693,6.322798654169757
US-MINOT,-101.3,48.5,http://geothermal.earth.lsa.umich.edu/DATA/US-MINOT.html,W.D. Gosnold,US,33.43092324805342,5.266223952539859
US-MN5-34,-91.72,47.82,http://geothermal.earth.lsa.umich.edu/DATA/US-MN5-34.html,R.F. Roy,US,17.618892550168287,4.598280260923846
US-MN5-35,-91.72,47.82,http://geothermal.earth.lsa.umich.edu/DATA/US-MN5-35.html,R.F. Roy,US,17.668789681946414,4.6362597019140335
US-MND84,-101.5,48.4,http://geothermal.earth.lsa.umich.edu/DATA/US-MND84.html,W.D. Gosnold,US,34.00981863436695,5.195300383532395
US-MT2-14,-112.3,46.72,http://geothermal.earth.lsa.umich.edu/DATA/US-MT2-14.html,D.D. Blackwell,US,74.90457368718239,7.3925635234330915
US-MT2-8,-109.9,45.05,http://geothermal.earth.lsa.umich.edu/DATA/US-MT2-8.html,D.D. Blackwell,US,18.620651991261955,2.455824231221644
US-MT3-83,-109.9,45.38,http://geothermal.earth.lsa.umich.edu/DATA/US-MT3-83.html,J.H. Sass,US,19.006140752434952,4.747602473537876
US-MT3-84,-109.9,45.38,http://geothermal.earth.lsa.umich.edu/DATA/US-MT3-84.html,J.H. Sass,US,17.489035990676303,3.9756537955941296
US-NH7-72,-72.13,42.78,http://geothermal.earth.lsa.umich.edu/DATA/US-NH7-72.html,F. Birch,US,21.471538461538476,6.972723076923073
US-NJ6-10,-74.6,41.08,http://geothermal.earth.lsa.umich.edu/DATA/US-NJ6-10.html,W.H. Diment,US,13.254570366651953,15.963022027157107
US-NJ6-8,-74.58,41.1,http://geothermal.earth.lsa.umich.edu/DATA/US-NJ6-8.html,W.H. Diment,US,11.7009218949074,9.595378666556458
US-NM3-160,-107.2,36.68,http://geothermal.earth.lsa.umich.edu/DATA/US-NM3-160.html,F. Birch,US,32.43705346793425,10.11055270712258
US-NM5-38,-106.1,35.47,http://geothermal.earth.lsa.umich.edu/DATA/US-NM5-38.html,F. Birch,US,24.334980237154145,14.493053359683799
