,Borehole,Longitude,Latitudes,Data,Data Contact,Country
52,CA-0201,-89.14,50.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0201.html,J-C Mareschal,CA
53,CA-0203,-93.85,51.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-0203.html,J-C Mareschal,CA
54,CA-0204,-92.08,49.48,http://geothermal.earth.lsa.umich.edu/DATA/CA-0204.html,J-C Mareschal,CA
55,CA-0209,-92.20,48.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-0209.html,J-C Mareschal,CA
56,CA-0301,-91.37,49.06,http://geothermal.earth.lsa.umich.edu/DATA/CA-0301.html,J-C Mareschal,CA
57,CA-0302,-91.36,49.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-0302.html,J-C Mareschal,CA
58,CA-0303,-90.79,48.60,http://geothermal.earth.lsa.umich.edu/DATA/CA-0303.html,J-C Mareschal,CA
59,CA-0304,-90.78,48.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-0304.html,J-C Mareschal,CA
60,CA-0306,-88.09,50.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-0306.html,J-C Mareschal,CA
61,CA-0307,-88.10,50.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0307.html,J-C Mareschal,CA
62,CA-0308,-87.97,50.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-0308.html,J-C Mareschal,CA
63,CA-0309,-89.23,49.77,http://geothermal.earth.lsa.umich.edu/DATA/CA-0309.html,J-C Mareschal,CA
64,CA-0310,-89.14,50.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0310.html,J-C Mareschal,CA
65,CA-0311,-88.93,49.20,http://geothermal.earth.lsa.umich.edu/DATA/CA-0311.html,J-C Mareschal,CA
66,CA-0312,-87.95,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-0312.html,J-C Mareschal,CA
67,CA-0314,-81.44,48.74,http://geothermal.earth.lsa.umich.edu/DATA/CA-0314.html,J-C Mareschal,CA
68,CA-0315,-81.44,48.74,http://geothermal.earth.lsa.umich.edu/DATA/CA-0315.html,J-C Mareschal,CA
69,CA-0316,-80.87,46.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-0316.html,J-C Mareschal,CA
70,CA-051-0,-76.06,45.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-051-0.html,A.M. Jessop,CA
71,CA-054-0,-63.48,44.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-054-0.html,K. Wang,CA
72,CA-056-0,-63.45,46.27,http://geothermal.earth.lsa.umich.edu/DATA/CA-056-0.html,A.M. Jessop,CA
73,CA-057-0,-77.24,43.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-057-0.html,A.M. Jessop,CA
74,CA-065-0,-63.45,45.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-065-0.html,A.M. Jessop,CA
75,CA-066-0,-114.42,62.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-066-0.html,A.M. Jessop,CA
76,CA-067-1,-81.30,46.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-1.html,A.M. Jessop,CA
77,CA-067-2,-81.39,46.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-2.html,A.M. Jessop,CA
78,CA-067-3,-81.43,46.61,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-3.html,A.M. Jessop,CA
79,CA-067-4,-81.44,46.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-4.html,A.M. Jessop,CA
80,CA-067-5,-81.39,46.41,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-5.html,A.M. Jessop,CA
81,CA-067-6,-81.08,46.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-6.html,K. Wang,CA
82,CA-067-7,-81.32,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-7.html,A.M. Jessop,CA
83,CA-067-8,-81.16,46.55,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-8.html,A.M. Jessop,CA
84,CA-067-9,-81.34,46.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-9.html,A.M. Jessop,CA
85,CA-069-0,-74.35,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-069-0.html,A.M. Jessop,CA
86,CA-072-2,-117.19,49.15,http://geothermal.earth.lsa.umich.edu/DATA/CA-072-2.html,A.M. Jessop,CA
